gene	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2
CG4904	791.109170084373	789.268502121608	742.697325225451	735.675032146069	741.917918632609	783.320029575528	770.193576913601	769.495230456287	789.192035477242	690.656949246627	786.499258981586	767.803520721015	767.183941744122	600.013548693035	723.301330763243	808.587504424347	709.689893938396	719.291801977539	922.937288325184	762.886597938144	858.736363422044	897.808463664652	826.137432407464	828.913768333491
CG4912	924.88599159181	906.381902208914	804.073178826221	883.939673941342	819.988590176803	958.066686148337	865.015545677365	868.425651741003	851.380694322502	823.358814591919	842.221553163143	834.707561945668	939.017487879668	822.599219982387	914.204692886533	1208.98240703447	855.675861198782	896.672016467298	943.777807738978	1144.32989690722	859.739560108285	1132.85392268779	839.103714978881	882.785041977633
CG4914	547.031682375817	723.828646536197	556.589898177954	696.137794333996	513.458479798022	779.201421508156	291.129071663881	365.911525082875	210.723250837874	377.566276366012	302.618309112489	396.032712890252	483.795587752926	522.592445635869	474.01490158283	503.121113864038	443.556183711497	527.380439973082	365.347064825499	350.515463917526	388.237117575153	355.646595933315	271.365770958954	380.076724604906
CG4916	545.913770218373	562.224125121004	531.346603551831	513.454574979106	500.474094425409	593.86405847639	676.055009726513	676.461324347481	691.583589310667	639.040745902361	650.827586191707	648.209483660097	533.897396193359	474.204256225141	514.327019312748	636.69909153414	571.886031037736	591.016844606414	754.511866123906	742.268041237113	595.397233283859	763.445034854815	734.910372887133	710.072114415005
CG4918	3914.18310059644	3505.82055593551	3460.80619658537	3693.20162490987	3924.57156869948	3619.86424283313	3764.51758511852	3782.94206952286	3809.01454806555	4778.69597466841	3286.07363315745	3528.51423279322	3802.2575561747	3580.72601639392	3641.99132594432	4860.67884735088	3672.47294630257	3830.71112930567	3821.04543701081	3958.76288659794	3696.27819045388	5035.91233854659	3789.39608149679	3943.70208265261
CG4930	209.794848213614	213.278065917088	186.602393608794	173.857943057552	179.316005588874	202.596292075994	293.862677970584	293.515422089754	323.185156203711	270.226005743508	271.123099357696	274.233048096654	298.65374875039	367.750239521538	262.260444081996	384.460473801765	363.888325472054	323.944374767314	357.69136381635	237.113402061856	321.524537940146	369.046722256668	360.277422877246	357.607801426695
CG4931	314.505953627513	331.189513023728	330.885146226734	306.413593043564	280.890058250583	316.936696994004	280.365496831238	279.265510414638	324.490954814635	340.238295400782	309.445941996395	319.816021238725	280.64841134211	406.46079105012	278.477962708974	239.355462525614	318.671432957775	279.098247092643	262.420417924718	412.371134020619	302.463800901573	232.872465565297	327.398634928294	301.300138522265
CG4944	1503.21921437605	1708.81818014954	1469.80320377006	1621.90927792472	1356.29301385828	1672.54712374064	1130.5170582159	1169.96688615352	1153.3466230987	1203.24692709452	1169.50743914652	1256.47259838386	1525.3652147841	1606.48788843619	1544.83448863847	1540.2151080083	1590.77334235949	1566.10695024786	1600.8921443576	1701.03092783505	1507.80461941978	1408.8240918336	1641.62398984555	1583.65301918711
CG4954	1490.92218064417	1525.46687745749	1485.8896170122	1453.87601722341	1464.77015747758	1417.78179614459	1570.96937438344	1516.05956856181	1593.56397980648	1469.18646612432	1540.40207709807	1494.19025401724	1420.07313298351	1200.02709738607	1421.58134707343	1194.743130227	1552.01600591868	1504.72537884956	1482.22877871579	1690.72164948454	1617.15305822002	1245.12525134291	1546.69227816196	1583.65301918711
CG4972	338.541065012554	365.90455836477	376.174586585367	340.479159551288	361.590478731001	373.028216387745	191.523291863387	192.783287834621	180.853107612985	209.501060632607	170.911068319717	187.233287529797	344.841353406414	309.684412228663	281.258108759314	321.061788968493	318.671432957775	309.663764278731	212.65836136525	206.185567010309	213.17929582615	176.012470085123	159.300043020273	170.81795813796
