gene	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2
CG7379	504.203698294111	478.74324331847	526.483995222957	542.493896943659	598.842949871855	431.592576607682	391.297144953741	437.855157513894	364.968855447893	410.307176793547	509.053732742548	537.307503513577	552.135732665151	563.268064986441	645.631526614866	727.699398096699	521.393292214669	571.643281746274	437.825406963229	422.400376698041	432.337969968439	468.721135738884	483.205680004832	462.848953991034
CG7392	1029.74935207157	1010.37091467793	866.259608753427	829.990662605046	679.639220886311	870.146323805811	802.921414320663	797.736108895177	760.894890598956	833.639978247207	708.433111400046	608.757969406339	1129.56012484168	1324.08811798262	1140.54071077957	899.752356561423	937.699564293047	716.159841738309	916.273789830264	817.102368038833	796.412049941862	1141.47382468175	1135.92303001136	1311.40536964126
CG7394	96.0387996750687	66.8013827886237	111.015794519857	79.9991000101249	106.936241048545	80.7495788491793	96.5538409626113	106.764682243114	89.6128886144381	104.204997280901	141.050305114081	116.464259405203	84.2955317046032	101.224985591766	107.980185635936	107.180531502615	52.5435100681449	64.2295822186825	108.327935743479	112.524690513822	79.6412049941862	88.2298608449664	101.317320001013	94.943375177648
CG7398	410.832643054461	503.793761864204	504.61724781753	367.495865671511	425.368603281992	502.596516630237	527.488878522055	523.026982674131	622.402244558461	527.537798734561	553.595934357521	500.867765908268	408.833328767325	310.205601007025	301.444684900321	372.311319956451	327.386485809211	417.492284421436	643.197118476909	562.623452569112	436.888895968107	556.95099658385	615.697560006157	572.627231540189
CG7400	286.782526807497	207.362625739686	285.949773763267	234.997356279742	185.356151150812	217.18852242193	261.20354870938	341.886903812219	281.873267823596	265.939836810632	213.166250585942	267.224742438933	455.195871204857	404.899942367065	317.191795305561	276.412949664638	246.550316473603	154.150997324838	279.847167337322	367.003605983544	377.726857972426	452.178036830453	370.197900003702	569.660251065888
CG7404	220.088915922032	328.440132044067	294.360061226893	312.49648441455	304.174196760307	363.373104821307	259.170836268062	279.50753890613	288.390568813737	309.358585677674	268.313738299718	255.792667896091	238.134877065504	240.001175515962	319.44138250631	313.079973599743	250.592124940383	301.879036427808	309.185983267848	290.83304625111	250.300929981728	286.747047746141	208.479870002085	267.028242687135
CG7417	298.787376766881	225.454666911605	317.908866125044	306.246554726259	285.163309462788	253.386609492252	285.596098005198	275.908729392317	241.954799258983	299.58936718259	352.095498480263	312.953040610301	299.249137551341	329.797533702206	314.942208104813	270.771869059237	311.219251942089	263.341287096598	243.737855422829	367.003605983544	350.421301974419	286.747047746141	198.737820001987	272.962203635738
CG7421	698.949042079667	654.096873138607	627.407444786463	501.244361000939	655.875611764412	774.08216965765	527.488878522055	652.584125171393	582.483775993848	538.392485951321	277.858495788641	186.485715980111	1194.88916191275	1080.82162035079	1322.75727404021	1198.72962864766	1398.46572950601	1136.86360527068	575.492158637235	590.32183792636	352.696764974253	358.433809682676	198.737820001987	534.05648537427
CG7427	98.7065441104873	94.6352922838836	100.923449563506	112.498734389238	123.570767433875	94.6719200300723	129.077240023701	115.161904442011	131.975345050354	84.666560290732	110.294975427552	80.0245217998944	134.872850727365	111.020951939356	98.9818368329412	141.027015135019	88.9197862691683	109.19028977176	99.3006077648562	86.5574542414018	47.7847229965117	71.6867619365352	93.5236800009352	89.009414229045
CG7430	494.866592770146	507.968848288493	556.761030092009	567.493615696823	572.702979837766	559.678115471898	395.362569836377	369.477776751451	383.706095794549	308.273116955998	398.758757314996	376.54395525486	752.337620463583	906.1268871521	807.60180506877	693.852914464295	753.79727905454	780.389423956992	270.819839358699	415.475780358729	364.074079973423	388.762824348133	391.630410003916	320.433891224562
