Gene	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2	pos_start	pos_end	P_est.mean	P_p_value	H_est.mean	H_p_value	H_P_est	H_P_p_value	P_qvalue	H_qvalue	P_H_qvalue	Direction_parent	Direction_hybrid	P_H_ratio	Regulatory_class	Direction	trans_reg_diff	perc_cis
CG9134	192.077599350137	94.6352922838836	161.47751930161	182.497946898097	190.108872975192	167.068094170716	277.465248239925	257.914681823253	234.622835645074	225.777494108619	197.258321437737	231.499509492552	189.664946335357	143.674173097991	206.962022468877	124.103773318817	226.341274139701	160.573955546706	216.655871486959	252.747766384893	163.83333598804	231.603384718037	210.428280002104	249.226359841326	0	0	-0.36600711529481	0	-0.230935277320902	1.68681320023012e-08	-0.135046766239657	0.0207719566805067	0	4.01692015896516e-07	0.0394120897119556	P2	Ambig	1.58489044870445	Conserved/Ambiguous	NA	-0.135071837973908	63.0958436791288
CG9139	314.793843379392	313.131481821674	285.949773763267	348.746076606638	321.996903601731	378.687680120289	337.43026525881	308.298015016633	303.869158665322	282.221867635773	323.461226013494	347.249264238827	248.671818528579	280.817701964255	305.943859301818	315.900513902443	286.968401141407	353.262702202754	311.442815262503	349.692115135263	318.564819976745	297.775780351761	307.848780003079	249.226359841326	0	0	0.0314184751796198	0.330458800393675	-0.0236868749320009	0.474180509949195	0.0551303068321583	0.234517759608326	1	1	0.317077554139077	Ambig	P2	1.32640862375532	Conserved/Ambiguous	NA	0.0551053501116207	30.0624521250506
CG9140	390.824559788821	425.858815277476	423.878488166726	369.995837546828	307.738738128592	377.2954460022	421.787831573513	405.465871889579	378.818120051943	485.204518589195	534.506419379676	765.948994370418	840.847928753417	610.61523566646	463.414963354224	417.439964799657	452.682548279402	295.456078205939	379.147775102178	602.439881520157	930.664366932062	896.084524206689	841.713120008417	967.235634622289	0	0	-0.264780349419349	0	-0.404666968490191	0	0.139919110013967	0.000114852822016289	0	0	0.000370889353192339	Ambig	Ambig	0.654316685167663	Conserved/Ambiguous	NA	0.139886619070842	74.3116890116597
CG9148	322.797076685648	431.425597176528	437.334948108526	412.495359427206	442.003129667321	381.472148356468	378.084514085173	409.064681403392	475.76297228029	418.990926566955	509.053732742548	372.971431960222	417.262881937786	359.185432744977	431.920742543743	428.722126010459	400.139038211257	333.993827537149	451.366398931164	434.518420291837	441.439821967775	452.178036830453	420.856560004209	338.235774070371	0	0	-0.0546403272078803	0.0533479955789811	-0.0681778048275435	0.0168653068488644	0.013523022982998	0.739073760131063	0.626654394528727	0.225603823799109	0.799626987003542	Ambig	P2	0.801438640421081	Conserved/Ambiguous	NA	0.0135374776196632	83.433358835406
CG9149	570.897309179575	530.235975884701	513.027535281156	501.244361000939	611.912934888899	467.790663678004	568.143127348418	505.032935105067	467.616346042613	460.238737990645	540.869591038958	570.174717824248	406.72594047471	380.410026498089	607.388544202139	434.363206615859	519.372387981278	578.066239968142	372.377279118211	560.892303484284	564.314823958805	427.363388467806	475.412040004754	382.740481184893	0	0	0.0263134878192959	0.297858362322228	0.0501567573358427	0.0586532561294879	-0.0238307775402664	0.512742377068082	1	0.712753315634323	0.600432284785189	P1	Ambig	0.524624980101972	Conserved/Ambiguous	NA	-0.0238432695165468	67.7793772100815
CG9155	852.344347116235	908.777145020235	955.408655867858	967.489115747448	764.000033269053	817.241427318418	743.972753522437	792.937696210094	781.261456193147	874.887789670897	930.083590865031	878.840730480983	855.599646801722	785.309968865154	809.851392269519	834.879929599314	828.570735689977	799.658298622597	999.776573632529	953.863145740248	926.113440932394	896.084524206689	793.00287000793	643.834762923425	0	0	0.0512789563903702	0.00951813476403298	-0.0589915788367378	0.00301027436009527	0.110287200753999	8.5449387223942e-05	0.125926684257014	0.0448340474590446	0.000283220767624957	P1	P2	0.869258924774455	Compensatory	Opposing	0.110270535227108	34.8522049148495
CG9160	694.947425426539	623.479572693821	570.217490033809	633.742870392708	626.171100362039	657.134503738149	550.865071597214	653.783728342664	611.811630449482	607.862484138588	575.867035165008	623.048062584892	552.135732665151	666.125711636139	551.148864183422	589.49292326438	553.727759948912	802.869777733531	595.803646589137	560.892303484284	630.303250953988	441.149304224832	559.193670005592	646.801743397727	0	0	0.0491106531876709	0.0347034953850075	0.0787158398242396	0.00089615538071404	-0.0295927418938672	0.370920795157369	0.420710797264154	0.0143052101465549	0.465368548021514	Ambig	Ambig	0.623897976535948	Conserved/Ambiguous	NA	-0.0296051866365687	72.6690305623349
CG9165	300.12124898459	366.015909862668	302.770348690518	394.995556299992	363.583219565055	378.687680120289	422.804187794172	443.853173370249	397.555360398598	364.717490483153	362.700784579066	395.121076386979	358.256009744563	375.512043324294	314.942208104813	400.516722983455	323.34467734243	372.531576868358	306.929151273192	380.852798662168	464.194451966114	352.919443379865	381.888360003819	320.433891224562	0	0	-0.125030263654166	2.80909063743451e-05	-0.0285155079162659	0.345720380605118	-0.0965028773874233	0.0232948236780968	0.000501110032636045	1	0.0435563138051898	P2	Ambig	4.38464094770151	Trans	NA	-0.0965147557379001	22.8068845756735
CG9170	341.471287733578	411.941860529846	322.955038603219	277.496878160121	355.26595637239	388.433318946914	660.631543428393	636.989283944871	663.135375746842	646.939358118926	686.16201059256	667.347351438405	278.17525462519	434.287841409835	380.180236926524	459.748069340163	472.891590613304	346.839743980885	334.011135209062	559.161154399456	587.069453957144	700.32452045692	568.935720005689	433.179149248019	0	0	-0.63574329358765	0	-0.293890580536223	0	-0.341843767259114	0	0	0	0	P2	P2	2.16319724309535	Cis_+_Trans,opposing	Opposing	-0.341852713051427	46.2278695663039
CG9171	193.411471567847	133.602765577247	144.656944374359	168.748101583857	114.065323785115	238.07203419327	158.551570422814	142.752777381242	208.55363168451	199.726244788393	179.229335069772	170.052108824776	267.638313162115	238.36851445803	193.464499264385	163.591337556622	147.526009037484	64.2295822186825	178.28972757781	147.147672210383	202.516206985216	204.031553203985	290.313090002903	314.499930275959	0	0	-0.0646352534930704	0.142700700489504	-0.218080146448672	8.49809531633383e-08	0.153431832229549	0.0109305346870833	1	1.94245727528261e-06	0.0223445208046941	Ambig	Ambig	0.296383024982438	Compensatory	Opposing	0.153444892955602	58.6986402850142
