gene	RNA_P1_1	RNA_P1_3	RNA_P1_5	RNA_P2_1	RNA_P2_3	RNA_P2_5	RNA_HYB_P1_1	RNA_HYB_P1_3	RNA_HYB_P1_5	RNA_HYB_P2_1	RNA_HYB_P2_3	RNA_HYB_P2_5
CG12213	576.573730353053	564.236542263105	637.287337646027	450.404534388386	428.668185104638	492.338670071702	558.12971236207	579.744534896576	488.066038323145	349.980658963584	526.544012884842	509.747282981629
CG12214	148.487481241608	198.674838825037	182.287143876228	142.23301085949	141.93679906798	193.988802671643	165.930455026561	151.003227693992	124.506642429374	147.360277458351	118.730512709327	82.7794733047091
CG12217	679.251243977569	635.759484240118	706.183266040192	749.093857193316	662.054196994941	714.566349081623	648.637233285649	531.207783137793	552.809492386419	736.801387291755	668.504408515559	596.883570670797
CG12218	293.815654371693	327.813484061311	298.549023041382	273.798545904519	307.68849730844	234.505451330911	354.487790284018	242.683758793916	348.618598802246	268.406219656282	172.933572859237	235.267976760752
CG12219	412.289708553827	389.402684097072	350.220969337006	444.478158935907	366.74944725619	417.444258913663	294.149443001632	318.185372640912	385.970591531058	405.240763010465	314.893968489954	383.399665832337
CG12230	271.700497591028	282.118271131553	344.479641970825	222.831717013202	228.623032055807	230.822119634614	251.409780343275	269.648620882129	253.993550555922	336.823491333374	296.826281773318	213.48390483846
CG12234	1004.6599794645	1049.0031489962	1021.95627118012	792.949035541659	849.715602474082	958.894018269325	739.144754209228	965.34206275802	976.132076646289	978.893271687617	841.437981374796	941.071907043008
CG12235	445.462443724824	564.236542263105	477.96550323452	426.699032578471	381.990982726577	403.938709360574	492.763169472819	630.977772864181	562.770023780769	389.452161854213	397.489107766008	424.789402484691
CG12236	143.748519074323	127.151896848024	109.085219957428	201.496765384278	153.36795067077	143.649936155584	130.733085778503	172.575117364562	169.329033703948	171.043179192729	162.609180449731	174.272575378335
CG12237	704.525708869758	611.918503581114	674.6059655262	540.485441266064	508.68624632417	731.755230331009	532.988734327743	657.942634952394	724.628658938954	552.601040468816	722.707468665469	618.667642593089
CG12244	954.11104968012	898.010271489167	1056.4042353772	890.141592962311	874.483097613461	774.727433454474	771.828025653854	798.1599178111	941.270216766064	897.318832380316	784.653823122509	670.949415206589
CG1225	336.466313877261	323.83998728481	452.129530086708	379.288028958641	330.550800514021	297.12209016796	369.572377104614	337.060776102661	358.579130196596	310.509156072954	258.109810237667	237.446383952981
CG12252	424.926940999921	431.12440025033	450.694198245163	501.371363279704	510.591438257969	438.316471859346	379.628768318345	374.811583026159	453.20417844292	389.452161854213	402.651303970761	348.54515075667
CG12261	619.224389858621	635.759484240118	729.148575504914	536.929615994576	505.828458423473	601.610843728514	570.700201379234	574.351562478934	600.122016509581	589.441109833404	591.071465444259	498.855247020484
CG12268	465.997946449728	357.614709885067	403.328247474175	516.779939456148	404.853285932158	281.160986150673	367.058279301181	334.364289893839	303.796207527672	171.043179192729	144.541493733094	241.80319833744
CG12272	246.426032698839	133.112142012775	212.429112548676	227.572817375185	215.286688519218	179.255475886455	133.247183581936	140.217282858707	151.898103763836	126.308809250015	139.37929752834	148.131689071585
CG12273	126.372324460943	95.3639226360178	88.9905741757966	92.4514570586688	76.2076773519356	84.7166290148316	80.451129709848	97.0735035175663	94.6250482463239	115.783075145847	67.1085506617936	95.8499164580842
CG12279	139.009556907037	121.191651683273	226.782430964127	158.826862126431	160.988718405964	228.366565170415	145.817672599099	202.236465661596	224.111956372872	186.831780348981	229.717731111524	222.197533607377
CG12288	565.51615196272	548.342555157102	381.798269850998	597.37864560986	626.808146219671	434.633140163049	769.313927850421	722.658303964104	602.612149358168	626.281179197992	516.219620475335	601.240385055255
CG12292	290.656346260169	290.065264684554	212.429112548676	429.069582759463	434.383760906033	390.433159807485	402.25564854924	350.543207146767	149.407970915248	615.755445093824	562.679386318115	609.954013824172
CG12296	682.410552089092	586.090774533859	813.833154156075	572.487868709449	652.528237325949	782.094096847068	721.546069585199	666.032093578857	831.704371428216	765.747156078217	699.477585744079	618.667642593089
CG12297	214.832951583603	240.396554978295	198.075794133225	130.380259954533	123.837475696895	142.422158923485	201.12782427462	221.111869123345	176.799432249711	131.571676302099	123.89270891408	121.990802764834
CG12304	499.170681620725	490.726851897841	476.530171392975	531.003240542098	461.056447979211	488.655338375405	530.47463652431	380.204555443801	478.105506928795	386.820728328171	412.975696380268	339.831521987753
CG12316	192.717794802938	135.098890401025	163.627829936142	163.567962488414	192.424385313637	135.055495530891	191.071433060889	188.75403461749	221.621823524285	157.886011562519	113.568316504574	130.704431533751
CG12321	864.070768501698	750.99089075864	861.199104927064	663.754050677622	601.088055113392	780.866319614969	1126.31581593787	973.431521384484	1073.2472577412	623.64974567195	634.950133184662	764.620924472444
CG12325	657.136087196904	592.05101969861	651.640656061478	727.758905564392	706.826207439203	620.027502209999	600.869375020427	558.172645226006	689.76679905873	518.39240463027	474.922050837308	477.071175098192
CG1233	401.232130163494	377.48219376757	482.271498759156	485.962787103259	462.961639913009	400.255377664277	351.973692480585	312.792400223269	468.144975534445	423.660797692759	392.326911561255	392.113294601253
CG12338	72.6640865650423	107.28441296552	93.2965697004319	178.976538664859	143.841991001778	137.511049995089	123.190792368205	105.16296214403	129.486908126549	107.888774567721	116.14941460695	126.347617149293
CG12341	243.266724587315	198.674838825037	226.782430964127	214.534791379731	214.334092552319	202.583243296336	266.494367163871	253.469703629201	308.776473224847	163.148878614603	191.001259575874	202.591868877314
CG12342	417.028670721112	552.316051933603	548.296763470231	485.962787103259	445.814912508823	429.722031234653	497.791365079684	447.616710664333	488.066038323145	378.926427750045	446.529971711165	342.009929179982
CG12346	121.633362293658	79.4699355300148	119.132542848244	110.230583416105	102.880364425113	169.433258029663	93.0216187270117	94.377017308745	104.585579640674	84.2058728333434	113.568316504574	108.920359611459
CG12352	521.28583840139	385.429187320572	470.788844026795	538.114891085072	426.76299317084	454.277575876633	497.791365079684	523.118324511329	483.08577262597	494.709502895893	521.381816680088	466.179139137046
CG12357	717.162941315852	651.653471346121	721.971916297188	768.058258641248	686.82169213432	682.644141047048	716.517873978333	679.514524622964	647.434540632743	676.278416192789	676.247702822689	614.31082820863
CG12389	573.414422241529	536.4220648276	678.911961050835	478.851136560284	530.595953562852	519.34976917788	424.882528780135	566.26210385247	590.161485115231	452.606566479221	544.611699601478	361.615593910045
CG12390	108.996129847563	170.860361389532	186.593139400864	161.197412307422	227.670436088908	158.383262940772	143.303574795667	132.127824232243	189.250096492648	205.251815031275	165.190278552107	191.699832916168
CG12393	391.754205828923	294.038761461055	210.993780707131	450.404534388386	419.142225435646	437.088694627247	397.227452942374	334.364289893839	216.64155782711	536.812439312564	797.559313634393	675.306229591048
CG1241	574.994076297291	778.805368194145	645.899328695298	580.784794342919	613.471802683082	559.866417837148	653.665428892515	674.121552205321	712.177994696017	631.544046250076	505.895228065828	514.104097366088
CG12410	320.669773319643	286.091767908053	337.3029827631	375.732203687154	373.417619024485	403.938709360574	266.494367163871	275.041593299771	420.832451411283	286.826254338576	394.908009663631	274.479306220877
