gene	ATAC_P1_1	ATAC_P1_2	ATAC_P1_3	ATAC_P2_1	ATAC_P2_2	ATAC_P2_3	ATAC_P1_1.1	ATAC_P1_2.1	ATAC_P1_3.1	ATAC_P2_1.1	ATAC_P2_2.1	ATAC_P2_3.1
CG3825	391.142166927605	374.325145238156	533.731735158556	485.859804315775	399.303916146178	333.278425393518	447.358734150908	449.086741364183	400.125227477051	410.572914769698	502.323657310205	477.455070853708
CG3832	745.184128320071	776.457301265433	800.045085413653	664.56685877675	798.607832292355	785.311232249093	722.114492133355	698.7720338601	741.654710344493	870.811907938957	674.689618151941	783.275965910332
CG3836	188.681045292991	181.815070544247	158.01995471568	122.86109994192	156.483967138367	199.200897936355	236.008151087487	202.869300152932	194.203039277565	145.687163305377	159.233316206176	162.272311662698
CG3837	420.822331355716	365.769141918427	448.644067234728	731.582004199616	623.237869120048	674.218423784587	563.601554835789	551.388354261816	488.855926457318	688.702953807236	677.972779310832	533.626255660027
CG3842	658.263646780603	494.109191714366	458.589379069981	396.506277085288	562.532881868095	455.863593354352	656.948062355467	464.692072145178	626.137385256976	359.251300423486	403.828822543498	581.995887021024
CG3849	1108.76614256443	1155.06044816345	1168.021623318	994.057990439172	841.775823227077	999.835276180553	1299.80608584004	1106.2445598083	1069.79088015831	996.63263988451	889.736674059251	1003.27977306841
CG3851	210.941168614074	235.290091292555	158.01995471568	290.398963499084	229.32995184071	321.786065897189	121.526585261467	215.006779649262	205.922188199487	387.39541151657	234.746022860651	429.085439492712
CG3869	361.462002499494	382.881148557886	309.409701541192	351.829513470044	368.276922661846	379.24786337883	399.804852961638	270.49240020391	368.316108974692	243.363784157845	302.050826617901	291.778098855044
CG3870	326.48180870922	425.661165156532	412.177923838802	340.660322566233	300.826936826343	440.540447359247	339.922187760335	377.99579002854	349.900303525957	321.17397365049	329.957696468468	312.062137812881
CG3874	234.26129780759	207.483080503435	256.368038419845	318.321940758611	265.752944191882	294.970560405757	162.035447015289	185.530043729605	247.776291492065	150.653771145333	208.480733589529	265.252817140949
