gene	RNA_P1_1	RNA_P1_3	RNA_P1_5	RNA_P2_1	RNA_P2_3	RNA_P2_5	RNA_HYB_P1_1	RNA_HYB_P1_3	RNA_HYB_P1_5	RNA_HYB_P2_1	RNA_HYB_P2_3	RNA_HYB_P2_5	ATAC_P1_1	ATAC_P1_2	ATAC_P1_3	ATAC_P2_1	ATAC_P2_2	ATAC_P2_3	ATAC_P1_1	ATAC_P1_2	ATAC_P1_3	ATAC_P2_1	ATAC_P2_2	ATAC_P2_3
CG10117	420.187978832636	449.005135744584	436.340879829712	436.181233302437	502.018074555876	538.994204891465	404.769746352673	266.952134673307	376.010060136708	499.972369947977	438.786677404035	389.934887409024	347.681926157871	260.958101251743	329.300325211697	502.613590671492	329.155930877255	291.139773906981	287.08454199448	320.77624383156	314.742856760191	307.929686077274	364.430888636815	366.673011930135
CG10119	257.483611089171	218.542322707541	155.015838886871	266.686895361544	263.869082831077	185.39436204695	216.212411095216	156.396200111635	216.64155782711	231.566150291694	221.974436804394	161.20213222496	412.342284376255	494.109191714366	442.01385934456	519.367377027208	454.61290453129	597.602693809066	318.787129453993	362.390459247546	411.844376398973	314.551829863882	366.07246921626	382.27611882078
CG10120	221.15156780665	230.462813037043	209.558448865585	227.572817375185	169.562082108057	164.522149101267	221.240606702082	345.150234729125	393.440990076821	168.411745666687	221.974436804394	274.479306220877	513.042842257346	419.244162666735	367.976537904346	390.921681633382	507.223893482982	559.294828821305	361.057246066678	419.610005444527	508.945896037756	372.495587996702	387.413016749047	486.816934988095
CG10128	804.04391438275	808.606594017901	776.514526275902	858.139165518925	792.559844460131	698.605245064335	693.890993747439	628.28128665536	831.704371428216	668.384115614663	658.180016106052	629.559678554235	112.360622477849	102.672039836751	121.553811319754	150.784077201448	107.919977336805	91.9388759706255	88.0627429430921	107.503389824631	157.371428380096	74.4991175993404	83.7206095517008	88.9377092766712
CG10130	552.878919516626	758.937884311641	832.492468096161	636.492723596219	529.643357595953	989.5884490718	879.934231201462	1083.98745594616	1085.69792198414	978.893271687617	939.51970926511	910.5742063518	590.423270944921	577.530224081727	574.618017147928	703.659026940088	619.190869969917	551.633255823753	505.480144493349	379.729715670873	463.743464481771	523.149359142035	416.961467179059	508.661284634997
CG10131	94.7792433457073	103.310916189019	97.6025652250672	85.3398065156942	104.785556358911	125.233277674099	90.507520923579	97.0735035175663	119.526376732199	142.097410406267	103.243924095067	102.385138034772	157.940874992447	164.703063904789	137.024296396814	161.953268105258	142.993969971266	153.231459951043	75.7339589310592	71.0909513356429	88.7306989802666	168.864666558505	64.0216425983594	79.5758451422847
CG10133	266.961535423742	238.409806590044	288.501700150566	335.432850610298	281.015810235263	283.616540614871	226.268802308947	280.434565717414	249.013284858747	215.777549135443	263.272006442421	217.840719222919	405.98224914166	432.078167646329	351.401018178925	368.583299825761	434.377908780639	340.93999839107	308.219600300822	272.226325846242	318.091185023597	297.996470397362	290.559762561785	316.743069880075
CG10144	227.470184029697	190.727845272036	203.817121499405	309.356798619392	333.408588414718	299.577644632158	271.522562770737	204.932951870418	214.151424978523	344.7177919115	304.569576080448	331.117893218836	304.221685388137	325.128126149713	137.024296396814	217.799222624313	304.873935976473	375.417076880054	317.025874595132	251.419218138249	314.742856760191	309.585222023926	443.226756450181	340.147730216041
CG10153	173.761946133797	154.966374283529	198.075794133225	561.820392894987	570.604984172618	574.599744622336	130.733085778503	221.111869123345	169.329033703948	894.687398854274	887.897747217576	653.522157668756	241.681338914618	222.456086312962	214.376721782112	335.075727114328	276.544941925562	287.308987408205	225.440621934316	258.35492070758	177.461397960533	342.695940956966	370.997210954596	385.396740198908
CG10155	255.90395703341	242.383303366545	279.889709101296	314.097898981375	322.930032778827	250.466555348198	198.613726471187	302.006455387984	293.835676133322	302.614855494828	314.893968489954	307.155414104315	160.060886737313	158.286061414992	233.162310804255	290.398963499084	207.745956373349	206.862470933907	200.78305391025	265.290623276911	174.113069697127	251.641463891105	238.029184019541	218.443496469017
